priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1730,cheddar cheese flavor,cheddar cheese flavor,54,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,"cheddar cheese flavor (maltodextrin, flavor, whey solids, salt, disodium phosphate) (18) | cheddar cheese flavor (cheddar, blue and semi-soft cheese pasteurized milk, cheese cultures, salt, enzymes , water, whey, salt, citric acid) (12) | cheddar cheese flavor (cheddar cheese pasteurized milk, cheese culture, salt, enzymes , water, butterfat, phosphates, and lactic acid) (7) | cheddar cheese flavor (whey solids, natural flavor, salt) (5) | cheddar cheese flavor (cheddar cheese and blue cheese pasteurized milk, cheese cultures, salt, enzymes , whey, water, salt , yeast extract, maltodextrin from corn , corn oil, salt, sweet cream solids, butter cream, natural flavoring , sugar, flavoring) (4)",usda_only_train:38 | usda_only_val:10 | usda_only_holdout:6,,
1730,cheese flavor natural flavor,cheese flavor natural flavor,39,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,cheese flavor natural flavor (39),usda_only_train:28 | usda_only_holdout:6 | usda_only_val:5,,
1730,natural cheddar cheese flavor,natural cheddar cheese flavor,32,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,"natural cheddar cheese flavor (22) | natural cheddar cheese flavor (maltodextrin, natural cheddar cheese flavor, whey solids, salt, disodium phosphate) (10)",usda_only_train:15 | usda_only_val:11 | usda_only_holdout:6,,
1730,seasoning bread crumb,seasoning bread crumb,31,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:ambiguous_generic,"seasoning bread crumbs (bleached wheat flour, dextrose, salt, yeast) (21) | seasoning bread crumbs (wheat flour, salt, yeast) (10)",usda_only_train:19 | usda_only_val:9 | usda_only_holdout:3,,
1730,provolone cheese with smoke flavor,provolone cheese with smoke flavor,25,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,"provolone cheese with smoke flavor (pasteurized milk, cheese cultures, salt, enzymes, natural smoke flavor) (19) | provolone cheese with smoke flavor (pasteurized milk, cheese cultures, salt, enzymes, smoke flavor) (3) | provolone cheese with smoke flavor (provolone cheese pasteurized milk, cheese cultures, salt, enzymes, natural smoke flavor ) (2) | provolone cheese with smoke flavor (pasteurized milk, cheese cultures, salt, enzyms, natural smoke flavor) (1)",usda_only_train:18 | usda_only_holdout:4 | usda_only_val:3,,
1730,caramel flavor,caramel flavor,24,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:ambiguous_generic,"caramel flavor (13) | caramel flavor (water, sugar, sweetened condensed skim milk, high fructose corn syrup, butter cream, salt , salt, sodium bicarbonate, vanilla extract, pectin) (6) | caramel flavor (sugar, water, condensed skim milk, brown sugar, corn syrup, butter cream, salt , salt, caramel color, sodium bicarbonate, citric acid, soy lecithin, turmeric color ) (5)",usda_only_train:12 | usda_only_val:6 | usda_only_holdout:6,,
1715,crab flavor,crab flavor,168,no,shellfish,Pescatarian | Gluten-free,Vegan | Vegetarian,allergen:shellfish | review:ambiguous_generic,crab flavor (168),usda_only_train:118 | usda_only_val:31 | usda_only_holdout:16 | openfoodfacts_targeted:3,,
1585,teriyaki flavor,teriyaki flavor,9,no,sesame | soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:sesame | allergen:soy | evidence:surface_form | review:ambiguous_generic,"teriyaki flavor (powdered soy sauce, salt, toasted sesame seed oil, silicon dioxide anticaking agent , natural flavor, soybean oil) (4) | teriyaki flavor (natural flavors, yeast extract, water, ethyl alcohol, spices, potato starch) (4) | teriyaki flavor (sugar, soy sauce soybeans, wheat, salt , maltodextrin, caramelized sugar, spices, onion powder, yeast extract, natural flavors (1)",usda_only_train:4 | usda_only_holdout:3 | usda_only_val:2,,
1540,marshmallows sugar corn starch corn syrup dextrose gelatin color artificial flavor,"marshmallows sugar, corn starch, corn syrup, dextrose, gelatin, color , artificial flavor",18,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:animal_derivative | evidence:surface_form | review:ambiguous_generic,"marshmallows (sugar, corn starch, corn syrup, dextrose, gelatin, color (red 40, yellow 5, blue 1, yellow 6), artificial flavor) (18)",usda_only_train:12 | usda_only_holdout:4 | usda_only_val:2,,
1540,natural beef flavor,natural beef flavor,18,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"natural beef flavor (natural flavor, potato maltodextrin, gum arabic, salt, beef fat, sunflower oil) (9) | natural beef flavor (natural flavor, potato maltodextrin, salt, gum arabic, beef fat, sunflower oil) (6) | natural beef flavor (3)",usda_only_train:15 | usda_only_val:3,,
1540,roast chicken flavor,roast chicken flavor,18,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,roast chicken flavor (natural flavor (17) | roast chicken flavor (1),usda_only_train:12 | usda_only_val:6,,
1540,seasoning dried chicken broth,seasoning dried chicken broth,18,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,seasoning dried chicken broth (18),usda_only_train:11 | usda_only_holdout:5 | usda_only_val:2,,
1540,bht with citric acid added to help protect flavor,bht with citric acid added to help protect flavor,17,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"bht with citric acid added to help protect flavor (pork, beef, salt (7) | bht with citric acid added to help protect flavor (4) | bht with citric acid added to help protect flavor (pork and beef, salt, spices, dextrose, lactic acid starter culture, oleoresin of paprika, flavoring, sodium nitrite, bha, bht, citric acid) (3) | bht with citric acid added to help protect flavor (pork and beef, salt, spices, dextrose, lactic acid starter culture, oleoresin of paprika, flavorings, sodium ascorbate, sodium nitrite, bha, bht, citric acid) (2) | bht with citric acid added to help protect flavor (pork, mechanically separated chicken, beef, salt, 2% or less of spices, dextrose, pork stock, lactic acid starter culture, oleoresin of paprika, flavoring, sodium nitrite, sodium ascorbate, paprika, natural smoke flavor, bha, bht, citric acid) (1)",usda_only_train:12 | usda_only_val:4 | usda_only_holdout:1,,
1540,natural chicken flavor,natural chicken flavor,11,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"natural chicken flavor (10) | natural chicken flavor (yeast extract, flavoring, chicken fat, salt, cooked chicken) (1)",usda_only_train:9 | usda_only_holdout:2,,
1540,turkey flavor flavor,turkey flavor flavor,10,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,turkey flavor flavor (10),usda_only_train:8 | usda_only_val:2,,
1540,chicken broth flavor,chicken broth flavor,9,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"chicken broth flavor (chicken meat, seasoning flavor, chicken broth, salt , maltodextrin) (5) | chicken broth flavor (chicken broth, flavor, salt) (2) | chicken broth flavor (chicken broth, salt, flavor, chicken powder chicken, chicken broth, natural flavor, citric acid , caramelized sugar) (1) | chicken broth flavor (chicken broth, salt, flavoring) (1)",usda_only_train:6 | usda_only_holdout:2 | usda_only_val:1,,
1540,vegan natural beef flavor,vegan natural beef flavor,9,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"vegan natural beef flavor (yeast extract, maltodextrin, salt, natural flavoring) (9)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:2,,
1540,roasted chicken flavor,roasted chicken flavor,8,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"roasted chicken flavor (salt, autolyzed yeast extract, chicken flavor, chicken, flavor, maltodexrin, lactic acid, trisodium phosphate) (4) | roasted chicken flavor (salt, autolyzed yeast extract, chicken flavor, chicken, flavor, maltodextrin, lactic acid, trisodium phosphate) (4)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:1,,
1535,flavor blend,flavor blend,16,no,tree nut,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:tree_nut | evidence:surface_form | review:ambiguous_generic,"flavor blend (water, sugar, corn starch, locust bean gum, vanilla bean powder, vitamin a acetate, vitamin d3) (9) | flavor blend (water, sugar, dried coconut, corn starch, locust bean gum, lactic acid, vitamin a acetate, vitamin d3) (7)",usda_only_train:9 | usda_only_holdout:4 | usda_only_val:3,,
1535,natural almond flavor,natural almond flavor,16,no,tree nut,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:tree_nut | review:ambiguous_generic,natural almond flavor (16),usda_only_train:7 | openfoodfacts_targeted:5 | usda_only_val:3 | usda_only_holdout:1,,
1535,dark sweet chocolate sugar chocolate cocoa butter soy lecithin artificial flavor,dark sweet chocolate sugar; chocolate; cocoa butter; soy lecithin ; artificial flavor,13,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,dark sweet chocolate (sugar; chocolate; cocoa butter; soy lecithin (an emulsifier); artificial flavor) (13),usda_only_train:9 | usda_only_holdout:3 | usda_only_val:1,,
1535,milk chocolate sugar cocoa butter milk chocolate soy lecithin salt artificial flavor,milk chocolate sugar; cocoa butter; milk; chocolate; soy lecithin ; salt; artificial flavor,13,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,milk chocolate (sugar; cocoa butter; milk; chocolate; soy lecithin (an emulsifier); salt; artificial flavor) (13),usda_only_train:9 | usda_only_holdout:3 | usda_only_val:1,,
1535,soy lecithin an emulsifier and vanillin an artificial flavor,soy lecithin an emulsifier and vanillin an artificial flavor,13,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,soy lecithin an emulsifier and vanillin an artificial flavor (13),usda_only_holdout:7 | usda_only_train:6,,
1535,soy lecithin and vanillin an artificial flavor,soy lecithin and vanillin an artificial flavor,11,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,soy lecithin and vanillin an artificial flavor (11),usda_only_train:7 | usda_only_val:3 | usda_only_holdout:1,,
1535,spices and 2 or less soybean oil added as a processing aid,spices and 2% or less soybean oil added as a processing aid,11,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,spices and 2% or less soybean oil added as a processing aid (11),usda_only_train:5 | usda_only_holdout:4 | usda_only_val:2,,
1535,soybean and or cottonseed oil with bha to protect flavor,soybean and/or cottonseed oil with bha to protect flavor,9,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,soybean and/or cottonseed oil with bha to protect flavor (9),usda_only_train:8 | usda_only_val:1,,
1535,coconut oil natural and artificial flavor,coconut oil natural and artificial flavor,8,no,tree nut,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:tree_nut | review:ambiguous_generic,coconut oil natural and artificial flavors (8),usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1490,natural honey flavor,natural honey flavor,14,no,,Vegetarian | Pescatarian | Gluten-free,Vegan,diet_block:vegan_only | evidence:surface_form | review:ambiguous_generic,natural honey flavor (14),usda_only_train:10 | usda_only_val:2 | usda_only_holdout:1 | openfoodfacts_targeted:1,,
1490,seasoning blend for mesquite barbeque,seasoning blend for mesquite barbeque,12,no,,Vegetarian | Pescatarian | Gluten-free,Vegan,diet_block:vegan_only | evidence:surface_form | review:ambiguous_generic,"seasoning blend for mesquite barbeque (fructose, seasoning maltodextrin, smoke flavor , onion powder, dried refiners syrup, autolyzed yeast extract, dehydrated garlic, salt, sugar, potassium chloride, 2% or less of citric acid, cellulose gum, dried molasses, spices, caramel color, xanthan gum, honey) (12)",usda_only_train:9 | usda_only_val:2 | usda_only_holdout:1,,
1490,flavoring honey,flavoring honey,7,no,,Vegetarian | Pescatarian | Gluten-free,Vegan,diet_block:vegan_only | evidence:surface_form | review:ambiguous_generic,flavoring honey (7),usda_only_train:5 | usda_only_holdout:2,,
1480,lard and hydrogenated lard with bht added to protect flavor,lard and hydrogenated lard with bht added to protect flavor,68,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:animal_derivative | evidence:surface_form | review:ambiguous_generic,lard and hydrogenated lard with bht added to protect flavor (68),usda_only_train:44 | usda_only_val:16 | usda_only_holdout:8,,
1480,turkey flavor,turkey flavor,60,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"turkey flavor (50) | turkey flavor (ground turkey, water, safflower oil, flavor, dry turkey broth) (10)",usda_only_train:42 | usda_only_val:11 | usda_only_holdout:7,,
1480,beef broth flavor,beef broth flavor,30,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:ambiguous_generic,"beef broth flavor (beef broth (23) | beef broth flavor (beef broth, natural flavor, beef flavor, salt) (5) | beef broth flavor (beef broth, flavor, salt) (2)",usda_only_train:21 | usda_only_holdout:7 | usda_only_val:2,,
1475,spice blend,spice blend,47,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | evidence:surface_form | review:ambiguous_generic,"spice blend (sugar, spices, salt, dried garlic, l-glutamic acid, konjac gum, modified food starch, citric acid) (7) | spice blend (maltodextrin, monosodium glutamate, salt, onion powder, hydrolyzed soy protein, natural flavors) (5) | spice blend (salt, spices) (4) | spice blend (dextrose, spice extractives) (4) | spice blend (garlic, oregano, rosemary, basil, parsley, black pepper crushed red pepper, sea salt) (4)",usda_only_train:36 | usda_only_val:4 | openfoodfacts_targeted:4 | usda_only_holdout:3,,
1475,partially hydrogenated soybean and cottonseed oil with tbhq to preserve flavor,partially hydrogenated soybean and cottonseed oil with tbhq to preserve flavor,34,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,partially hydrogenated soybean and cottonseed oil with tbhq to preserve flavor (34),usda_only_train:19 | usda_only_val:8 | usda_only_holdout:7,,
1475,milk chocolate sugar skim milk cocoa butter chocolate milk fat lecithin pgpr natural flavor,"milk chocolate sugar, skim milk, cocoa butter, chocolate, milk fat, lecithin , pgpr, natural flavor",24,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | evidence:surface_form | review:ambiguous_generic,"milk chocolate (sugar, skim milk, cocoa butter, chocolate, milk fat, lecithin (soy), pgpr, natural flavor) (24)",usda_only_train:18 | usda_only_val:4 | usda_only_holdout:2,,
1475,milk chocolate sugar milk chocolate cocoa butter milk fat lecithin pgpr natural flavor,"milk chocolate sugar, milk, chocolate, cocoa butter, milk fat, lecithin , pgpr, natural flavor",21,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | evidence:surface_form | review:ambiguous_generic,"milk chocolate (sugar, milk, chocolate, cocoa butter, milk fat, lecithin (soy), pgpr, natural flavor) (21)",usda_only_train:15 | usda_only_val:4 | usda_only_holdout:2,,
