priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1840,mild cheddar cheese sauce,mild cheddar cheese sauce,17,no,milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"organic mild cheddar cheese sauce (organic cheddar cheese pasteurized organic milk, cheese culture, salt, enzymes , water, organic butter pasteurized organic sweet cream, salt , organic soybean oil, sodium phosphate, organic non-fat dry milk, organic maltodextrin (17)",usda_only_train:13 | usda_only_val:3 | usda_only_holdout:1,,
1840,marsala sauce,marsala sauce,14,no,milk,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"marsala sauce (organic whipping cream pasteurized organic cream , water, mushrooms, dry marsala wine (6) | marsala sauce (chicken broth, marsala wine (4) | marsala sauce (water, mushrooms mushrooms, salt, citric acid , marsala wine marsala wine, salt (4)",usda_only_train:10 | usda_only_val:3 | usda_only_holdout:1,,
1840,lemon herb sauce,lemon herb sauce,12,no,milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"lemon herb sauce (margarine palm and palm kernel oil, soybean oil, water, salt (8) | lemon herb sauce (water, salted chablis wine, butter cream, salt , corn starch, garlic puree (4)",usda_only_train:9 | usda_only_holdout:2 | usda_only_val:1,,
1840,mirin salted cooking wine soy sauce,mirin salted cooking wine soy sauce,11,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"mirin salted cooking wine (water, dextrose, rice, corn syrup, salt) soy sauce (water, wheat, soybeans, salt) (11)",usda_only_train:9 | usda_only_val:1 | usda_only_holdout:1,,
1840,american cheese sauce,american cheese sauce,10,no,milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"american cheese sauce (soybean and/or palm oil, water, maltodextrin, cheddar cheese milk, cultures, salt, enzymes , cream cheese milk, cream, cultures, salt, carob bean gum , nonfat milk, glycerin, sodium caseinate, salt, sodium lactate, mono and diglycerides, sodium polyphosphate, natural flavor, modified corn starch, xanthan gum, potassium sorbate, spice, yeast extract, titanium dioxide, guar gum, yellow 5, yellow 6) (4) | american cheese sauce (soybean and/or palm oil, water, maltodextrin, cheddar cheese milk, cheese cultures, salt, enzymes , cream cheese milk, cream, cheese cultures, salt, carob bean gum , nonfat milk, glycerin, sodium caseinate, salt, sodium lactate, mono and diglycerides, sodium polyphosphate, natural flavor, modified corn starch, xanthan gum, potassium sorbate preservative , spice, yeast extract, titanium dioxide, guar gum, yellow 5, yellow 6) (3) | american cheese sauce (soybean and/or palm oil, water, maltodextrin, cheddar cheese milk, cultures, salt, enzymes , cream cheese milk, cream, cultures, salt, carob bean gum , nonfat milk, glycerin, sodium caseinate, salt, sodium lactate, mono and diglycerides, sodium polyphosphate, natural flavor, modified corn starch, xanthan gum, potassium sorbate, spice yeast extract, titanium dioxide, guar gum, yellow 5, yellow 6) (3)",usda_only_train:7 | usda_only_val:2 | usda_only_holdout:1,,
1840,creamy cheese sauce,creamy cheese sauce,8,no,milk | tree nut,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:tree_nut | evidence:surface_form | review:product_style | review:surface_form_composite,"creamy cheese sauce (4) | creamy cheese sauce (water, pasteurized cream, cheese cultures, salt, carob bean gum, guar gum, maltodextrin, whey, modified food starch, coconut oil, corn syrup solids, yeast extract, sodium caseinate, dried onion, dried garlic, sugar, natural flavors, salt, xanthan gum, caramel color) (4)",usda_only_train:4 | usda_only_val:2 | usda_only_holdout:2,,
1840,roasted chile sauce,roasted chile sauce,8,no,milk,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"roasted chile sauce (tomatillos tomatillos, citric acid , water, spinach, roasted poblano chile puree, cream whole milk , cilantro, parmesan cheese pasteurized milk, cheese culture, salt, enzymes , onions, corn starch, spices, chicken flavor concentrate chicken broth, chicken flavor, salt, cane sugar, onion powder, corn starch, natural flavor, turmeric , salt, garlic garlic, citric acid, ascorbic acid to maintain color , canola oil, jalapeno peppers, smoked paprika) (8)",usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1830,meat sauce,meat sauce,59,no,milk | soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | allergen:soy | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"meat sauce (crushed tomatoes in puree water, tomato paste, tomatoes , cooked italian sausage pork, water, salt, spice, corn syrup, dextrose, flavoring , onions, water (15) | meat sauce (water, tomato paste, cooked italian sausage pork, water, salt, spice, corn syrup, dextrose, flavoring , cottage cheese cultured skim milk, enzymes , seasoned cooked beef and pork beef, pork, seasoning flavorings, salt, spices, dextrose , tomato paste, salt, soybean oil , sugar (15) | meat sauce (tomatoes in juice water, tomatoes, tomato paste, citric acid , cooked beef and pork, onions, water, modified corn starch, sugar, garlic, tomato paste, salt, flavoring, beef flavor cooked beef, yeast extract, maltodextrin, caramelized sugar syrup, beef tallow, beef extract, vegetable juice concentrates onion, carrot, celery , salt, sugar, corn starch, lactic acid, flavors , olive oil, wine, seasoning flavorings, salt, spice, dextrose , canola oil, butter cream, salt ) (7) | meat sauce (tomato puree water, tomato paste, tomatoes , seasoned cooked beef and pork beef and pork, seasoning flavorings, salt, spices, dextrose , tomato paste, salt, soybean oil , onions, water (6) | meat sauce (diced tomatoes in juice tomatoes, tomato juice, citric acid, calcium chloride , tomato puree water, tomato paste , cooked seasoned meat crumbles beef and pork, water, salt , onions, water, garlic, modified food starch, salt, parmesan cheese flavor (granular and parmesan cheese milk, cheese cultures, salt, enzymes ), water, salt, lactic acid, citric acid , marsala wine (4)",usda_only_train:42 | usda_only_val:12 | usda_only_holdout:5,,
1830,hoisin sauce,hoisin sauce,58,no,sesame | soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:sesame | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"hoisin sauce (sugar, water, miso water, soybeans, rice, salt , plum puree, soy sauce water, wheat, soybeans, salt , garlic, corn starch, vinegar, salt, molasses, spices) (11) | hoisin sauce (sugar, water, soybeans, salt, modified corn starch, wheat flour, caramel color, sesame oil, acetic acid, spices) (10) | hoisin sauce (sugar, vinegar, soybeans, water, salt, wheat flour, garlic,sesame seed, chili, spices, and red 40 (8) | hoisin sauce (sugar, water, salt, modified corn starch, distilled vinegar, soy flour, garlic (6) | hoisin sauce (sugar, water, sweet potato, salt, modified corn starch, soybeans, spices, sesame seed, wheat flour, garlic, chili pepper, acetic acid) (4)",usda_only_train:35 | usda_only_holdout:14 | usda_only_val:9,,
1830,light caesar dressing,light caesar dressing,18,no,egg | milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"light caesar dressing (water, soybean oil, parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzymes , distilled vinegar, enzyme modified romano cheese romano cheese cultured milk, salt, enzymes , flavor enzyme modified romano cheese (cultured milk, water, salt, enzymes) , salt , egg yolks, salt, corn syrup (10) | light caesar dressing (water, soybean oil, parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzymes , distilled vinegar, enzyme modified romano cheese romano cheese cultured milk, salt, enzymes , flavor enzyme modified romano cheese: cultured milk, water, salt, enzymes , salt , egg yolks, salt, corn syrup (8)",usda_only_train:14 | usda_only_val:3 | usda_only_holdout:1,,
1830,sesame dressing,sesame dressing,16,no,sesame | soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:sesame | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"sesame dressing (soybean oil, sugar, soy sauce water, wheat, soybeans, salt, sodium benzoate as a preservative , water, distilled vinegar, toasted sesame oil, rice vinegar (7) | sesame dressing (high fructose corn syrup, water, peach puree, soybean oil, sesame oil, vinegar, lemon juice from concentrate, food starch-modified, soybeans, wheat, salt, sesame seeds, tahini ground sesame seeds , granulated garlic, caramel color, ground ginger, natural flavor, cayenne pepper) (4) | sesame dressing (soybean oil, sugar, apple cider vinegar, water, sesame oil, soy sauce water, wheat, soybean, salt, sodium benzoate preservative , mustard flour, xanthan gum) (3) | sesame dressing (sugar, water, soy sauce water, soybeans, wheat, salt , red wine vinegar, white distilled vinegar, ginger, molasses, apple cider vinegar, sesame oil, modified corn starch, sesame seed, soybean oil, dehydrated garlic, xanthan gum) (2)",usda_only_train:9 | usda_only_holdout:4 | usda_only_val:3,,
1830,everything seasoned ranch dressing,everything seasoned ranch dressing,14,no,egg | milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"everything seasoned ranch dressing (soybean oil, cultured lowfat buttermilk, water, sour cream cultured nonfat milk, cream , egg yolks, distilled vinegar, sugar (11) | everything seasoned ranch dressing (soybean oil, cultured lowfat buttermilk, water, sour cream cultured nonfat milk, cream) (2) | everything seasoned ranch dressing (soybean oil, cultured lowfat buttermilk, water, sour cream cultured non-fat milk, cream , egg yolks, distilled vinegar, sugar (1)",usda_only_train:11 | usda_only_holdout:2 | usda_only_val:1,,
1830,jalapeno ranch dressing,jalapeno ranch dressing,12,no,egg | milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"jalapeno ranch dressing (soybean oil, water, buttermilk cultured pasteurized skim milk and milk, sodium citrate and salt , green jalapeno pepper, egg yolks, distilled vinegar, salt, sugar (12)",usda_only_train:8 | usda_only_val:2 | usda_only_holdout:2,,
1830,caesar yogurt dressing,caesar yogurt dressing,11,no,milk | soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | allergen:soy | diet_block:animal_derivative | evidence:surface_form | review:product_style | review:surface_form_composite,"caesar yogurt dressing (cultured nonfat yogurt water, nonfat dry milk, modified food starch, whey protein concentrate, gelatin, lactic acid, bacteria cultures , water, soybean oil, distilled vinegar, romano cheese pasteurized milk, cultures, salt, enzymes , pineapple concentrate, buttermilk powder, parmesan cheese pasteurized part-skim milk, cheese cultures, salt, enzymes (6) | caesar yogurt dressing (cultured nonfat yogurt water, nonfat dry milk, modified food starch, whey protein concentrate, gelatin, lactic acid, bacteria cultures , water, high oleic sunflower oil, distilled vinegar, romano cheese pasteurized cow's milk, cheese cultures, salt, enzymes , pineapple juice concentrate, buttermilk powder, parmesan cheese pasteurized part-skim milk, cheese cultures, salt, enzymes (5)",usda_only_train:6 | usda_only_val:3 | usda_only_holdout:2,,
1830,asian sesame dressing,asian sesame dressing,9,no,sesame | soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:sesame | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"asian sesame dressing (soybean oil, sugar, soy sauce water, wheat, soybeans, salt, sodium benzoate as a preservative , water, distilled vinegar, toasted sesame oil, rice vinegar (5) | asian sesame dressing (soybean oil, water, high fructose corn syrup, soy sauce water, wheat, soybeans, salt , sesame oil, sugar, distilled vinegar, salt, pineapple juice concentrate, xanthan gum, sesame seeds, spice, carrageenan gum, sodium benzoate and potassium sorbate preservatives , rosemary extract, calcium disodium edta added to protect quality ) (4)",usda_only_train:6 | usda_only_val:2 | usda_only_holdout:1,,
1830,classic caesar dressing,classic caesar dressing,8,no,egg | milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"classic caesar dressing (soybean oil, water, romano and parmesan cheese cultured part-skim milk, salt, enzymes , distilled vinegar, egg yolks, salt (8)",usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1830,sweet basil dressing,sweet basil dressing,8,no,egg | milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"sweet basil dressing (soybean oil, water, basil, parmesan cheese pasteurized milk and part skim milk, cheese culture, salt, enzymes, powdered cellulose added to prevent caking , canola oil, egg yolks, distilled vinegar, whole egg (8)",usda_only_train:7 | usda_only_val:1,,
1820,avocado ranch dressing,avocado ranch dressing,55,no,egg | milk | soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:animal_derivative | evidence:surface_form | review:product_style | review:surface_form_composite,"avocado ranch dressing (buttermilk cultured pasteurized skim milk and milk, sodium citrate and salt , soybean oil, water, avocado pulp avocado, ascorbic acid, xanthan gum, citric acid , tomato, sour cream pasteurized cultured milk, cream, nonfat milk powder, gelatin , distilled vinegar (13) | avocado ranch dressing (low fat buttermilk skim milk, whey, water, skim milk solids, whey solids, corn starch, tapioca starch, disodium phosphate, carrageenan gum, locust bean gum, culture , canola oil, water, avocado pulp, non fat sour cream cultured skim milk, corn starch, tapioca starch, carrageenan gum, locust bean gum , maltodextrin, egg yolk, sugar, salt, distilled vinegar, cider vinegar, natural flavors, modified corn starch, dried onion, xanthan gum, carrageenan gum, dried garlic, soy sauce water, wheat, soybeans, salt, lactic acid , cultured dextrose, spice, dried green onion, lactic acid, yellow 5 and 6, blue 1, calcium disodium edta added to protect quality ) (10) | avocado ranch dressing (soybean oil and/or canola oil, water, avocado pulp avocado, salt, lime juice concentrate, onion, sodium alginate, xanthan gum, garlic , white wine vinegar, egg yolk, salt, natural flavors (7) | avocado ranch dressing (canola oil, nonfat sour cream cultured skim milk, corn starch, tapioca starch, carrageenan, locust bean gum , water, avocado, egg yolk, cilantro, sugar, salt, distilled vinegar, modified corn starch, 1 dried onion, apple cider vinegar, gluconic acid, spices, lime juice concentrate, maltodextrin, dried garlic, dextrose, lactic acid, xanthan gum, cultured dextrose, dried red pepper, dried bell pepper, mixed tocopherols, mustard flour, natural flavors, guar gum, dried lemon peel) (6) | avocado ranch dressing (butter milk cultured pasteurized skim milk and milk, sodium citrate and salt , soybean oil, water, avocado pulp avocado, ascorbic acid, xanthan gum, citric acid , tomato, sour cream pasteurized cultured milk, cream, nonfat milk powder, gelatin , distilled vinegar (5)",usda_only_train:42 | usda_only_holdout:9 | usda_only_val:4,,
