class,class_scope,candidate_alias,candidate_norm,support_rows,target_rows,unmatched_target_rows,other_labeled_rows,unlabeled_rows,target_precision_pct,target_exclusivity_pct,priority_score,recommendation,reason
Sesame,big9,cajun sesame sticks,cajun sesame sticks,32,21,21,11,0,65.62,65.62,13.7812,review_medium,Moderate precision/exclusivity; verify before promotion.
Cereals with Gluten,cereals_with_gluten,wheat flour,wheat flour,110060,53666,28001,56394,0,48.76,48.76,26167.9044,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched wheat flour,enriched wheat flour,27904,14928,7309,12976,0,53.50,53.50,7986.1376,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,whole wheat flour,whole wheat flour,13364,8388,2438,4976,0,62.77,62.77,5264.7818,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bleached wheat flour,bleached wheat flour,15739,7796,5459,7943,0,49.53,49.53,3861.5932,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,made from enriched wheat flour,made from enriched wheat flour,2203,2127,1847,76,0,96.55,96.55,2053.6219,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched bleached wheat flour,enriched bleached wheat flour,8609,4086,3264,4523,0,47.46,47.46,1939.2956,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,unbleached enriched wheat flour,unbleached enriched wheat flour,2441,1766,195,675,0,72.35,72.35,1277.6551,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,made with smiles and enriched wheat flour,made with smiles and enriched wheat flour,1362,1290,1290,72,0,94.71,94.71,1221.8062,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat,wheat,5512,2532,1503,2980,0,45.94,45.94,1163.1030,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,organic wheat flour,organic wheat flour,1812,1311,695,501,0,72.35,72.35,948.5215,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,unbleached wheat flour,unbleached wheat flour,1949,1319,907,630,0,67.68,67.68,892.6429,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,organic whole wheat flour,organic whole wheat flour,1171,961,287,210,0,82.07,82.07,788.6601,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat bran,wheat bran,1656,1048,116,608,0,63.29,63.29,663.2271,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat starch,wheat starch,4025,1630,1014,2395,0,40.50,40.50,660.0994,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,made with smiles and whole wheat flour,made with smiles and whole wheat flour,534,525,525,9,0,98.31,98.31,516.1517,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bleached enriched wheat flour,bleached enriched wheat flour,2413,1109,747,1304,0,45.96,45.96,509.6896,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,white whole wheat flour,white whole wheat flour,934,660,69,274,0,70.66,70.66,466.3812,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched unbleached wheat flour,enriched unbleached wheat flour,2444,1015,164,1429,0,41.53,41.53,421.5323,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,whole grain wheat flour,whole grain wheat flour,1390,633,200,757,0,45.54,45.54,288.2655,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched wheat flour bleached,enriched wheat flour bleached,1586,675,279,911,0,42.56,42.56,287.2793,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat protein isolate,wheat protein isolate,670,437,21,233,0,65.22,65.22,285.0284,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,cracked wheat,cracked wheat,536,374,10,162,0,69.78,69.78,260.9627,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,organic enriched wheat flour,organic enriched wheat flour,281,266,210,15,0,94.66,94.66,251.8007,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,modified wheat starch,modified wheat starch,460,306,83,154,0,66.52,66.52,203.5565,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bread wheat flour enriched,bread wheat flour enriched,210,196,193,14,0,93.33,93.33,182.9333,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,cultured wheat flour,cultured wheat flour,401,241,29,160,0,60.10,60.10,144.8404,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bun enriched bleached wheat flour,bun enriched bleached wheat flour,140,140,55,0,0,100.00,100.00,140.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,crushed wheat,crushed wheat,210,170,10,40,0,80.95,80.95,137.6190,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,sprouted whole wheat flour,sprouted whole wheat flour,149,142,80,7,0,95.30,95.30,135.3289,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,whole grain wheat,whole grain wheat,1588,455,190,1133,0,28.65,28.65,130.3684,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,sesame seed bun enriched bleached wheat flour,sesame seed bun enriched bleached wheat flour,121,121,92,0,0,100.00,100.00,121.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bulgur wheat,bulgur wheat,498,244,20,254,0,49.00,49.00,119.5502,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,salt crust enriched wheat flour,salt crust enriched wheat flour,115,115,115,0,0,100.00,100.00,115.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bread whole wheat flour,bread whole wheat flour,145,120,10,25,0,82.76,82.76,99.3103,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat germ,wheat germ,262,159,54,103,0,60.69,60.69,96.4924,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,whole wheat,whole wheat,1162,332,45,830,0,28.57,28.57,94.8571,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,made from unbromated unbleached enriched wheat flour,made from unbromated unbleached enriched wheat flour,111,100,92,11,0,90.09,90.09,90.0901,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,buttermilk biscuit enriched wheat flour,buttermilk biscuit enriched wheat flour,99,94,21,5,0,94.95,94.95,89.2525,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bun enriched wheat flour,bun enriched wheat flour,83,82,23,1,0,98.80,98.80,81.0120,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,sodium phosphates breaded with wheat flour,sodium phosphates breaded with wheat flour,102,90,81,12,0,88.24,88.24,79.4118,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,organic enriched unbleached wheat flour,organic enriched unbleached wheat flour,86,82,19,4,0,95.35,95.35,78.1860,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,stone ground whole wheat flour,stone ground whole wheat flour,94,83,29,11,0,88.30,88.30,73.2872,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,citric acid crust enriched wheat flour,citric acid crust enriched wheat flour,68,68,68,0,0,100.00,100.00,68.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,sodium metabisulfite crumb topping enriched wheat flour,sodium metabisulfite crumb topping enriched wheat flour,67,67,67,0,0,100.00,100.00,67.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,unbleached unenriched wheat flour,unbleached unenriched wheat flour,107,83,13,24,0,77.57,77.57,64.3832,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,crust enriched wheat flour,crust enriched wheat flour,397,159,139,238,0,40.05,40.05,63.6801,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,fermented wheat flour,fermented wheat flour,147,93,45,54,0,63.27,63.27,58.8367,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,sodium phosphates breaded with bleached wheat flour,sodium phosphates breaded with bleached wheat flour,57,56,48,1,0,98.25,98.25,55.0175,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,battered and breaded with wheat flour,battered and breaded with wheat flour,71,62,58,9,0,87.32,87.32,54.1408,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,water enriched wheat flour,water enriched wheat flour,63,58,58,5,0,92.06,92.06,53.3968,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,defatted wheat germ,defatted wheat germ,191,98,53,93,0,51.31,51.31,50.2827,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,whole grain wheat bread,whole grain wheat bread,48,48,48,0,0,100.00,100.00,48.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,crust enriched unbleached wheat flour,crust enriched unbleached wheat flour,55,51,42,4,0,92.73,92.73,47.2909,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,crust whole wheat flour,crust whole wheat flour,89,63,19,26,0,70.79,70.79,44.5955,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,unbromated unbleached enriched wheat flour,unbromated unbleached enriched wheat flour,85,61,17,24,0,71.76,71.76,43.7765,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,biscuit enriched bleached wheat flour,biscuit enriched bleached wheat flour,80,59,56,21,0,73.75,73.75,43.5125,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched wheat flour wheat flour,enriched wheat flour wheat flour,103,64,45,39,0,62.14,62.14,39.7670,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat flour enriched,wheat flour enriched,152,76,9,76,0,50.00,50.00,38.0000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,breaded with wheat flour,breaded with wheat flour,60,47,42,13,0,78.33,78.33,36.8167,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,textured wheat protein,textured wheat protein,127,68,14,59,0,53.54,53.54,36.4094,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,caramel color jumbo bun enriched wheat flour,caramel color jumbo bun enriched wheat flour,35,35,35,0,0,100.00,100.00,35.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,wheat corn tapioca starch,wheat corn tapioca starch,82,53,53,29,0,64.63,64.63,34.2561,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,crust wheat flour,crust wheat flour,144,69,69,75,0,47.92,47.92,33.0625,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched wheat flour enriched wheat flour,enriched wheat flour enriched wheat flour,33,33,29,0,0,100.00,100.00,33.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,modified food starch breaded with wheat flour,modified food starch breaded with wheat flour,33,33,24,0,0,100.00,100.00,33.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,croissant enriched bleached wheat flour,croissant enriched bleached wheat flour,39,35,34,4,0,89.74,89.74,31.4103,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,and or wheat,and or wheat,90,53,53,37,0,58.89,58.89,31.2111,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,containing wheat flour,containing wheat flour,46,37,32,9,0,80.43,80.43,29.7609,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,hydrolyzed wheat protein,hydrolyzed wheat protein,48,37,29,11,0,77.08,77.08,28.5208,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,water breaded with wheat flour,water breaded with wheat flour,41,34,34,7,0,82.93,82.93,28.1951,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,topping enriched wheat flour,topping enriched wheat flour,36,31,31,5,0,86.11,86.11,26.6944,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,wheat sourdough,wheat sourdough,41,33,23,8,0,80.49,80.49,26.5610,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat or corn,wheat or corn,26,26,26,0,0,100.00,100.00,26.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,soy protein concentrate breaded with wheat flour,soy protein concentrate breaded with wheat flour,25,25,25,0,0,100.00,100.00,25.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,corn and wheat protein,corn and wheat protein,39,31,10,8,0,79.49,79.49,24.6410,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,water enriched wheat flour enriched wheat flour,water enriched wheat flour enriched wheat flour,23,23,23,0,0,100.00,100.00,23.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,flavor breaded with wheat flour,flavor breaded with wheat flour,22,22,22,0,0,100.00,100.00,22.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,soybean oil crust enriched wheat flour,soybean oil crust enriched wheat flour,22,22,22,0,0,100.00,100.00,22.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,spice sesame seed bun enriched bleached wheat flour,spice sesame seed bun enriched bleached wheat flour,22,22,22,0,0,100.00,100.00,22.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,jumbo bun enriched wheat flour,jumbo bun enriched wheat flour,21,21,19,0,0,100.00,100.00,21.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,made from unbleached enriched wheat flour,made from unbleached enriched wheat flour,159,57,53,102,0,35.85,35.85,20.4340,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,fermented wheat protein,fermented wheat protein,70,37,29,33,0,52.86,52.86,19.5571,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat flour niacin,wheat flour niacin,131,50,37,81,0,38.17,38.17,19.0840,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat protein,wheat protein,54,32,19,22,0,59.26,59.26,18.9630,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat flour wheat flour,wheat flour wheat flour,31,24,17,7,0,77.42,77.42,18.5806,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,wheat flour enriched with niacin,wheat flour enriched with niacin,52,29,28,23,0,55.77,55.77,16.1731,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,salt breaded with wheat flour,salt breaded with wheat flour,28,20,20,8,0,71.43,71.43,14.2857,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,sesame seed bun enriched wheat flour,sesame seed bun enriched wheat flour,23,18,18,5,0,78.26,78.26,14.0870,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,cultured wheat starch,cultured wheat starch,305,64,27,241,0,20.98,20.98,13.4295,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched flour wheat flour,enriched flour wheat flour,64,29,14,35,0,45.31,45.31,13.1406,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,tortilla enriched wheat flour,tortilla enriched wheat flour,26,18,14,8,0,69.23,69.23,12.4615,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,enriched bleached wheat flour with added zinc,enriched bleached wheat flour with added zinc,90,33,33,57,0,36.67,36.67,12.1000,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,crust unbleached wheat flour,crust unbleached wheat flour,22,16,16,6,0,72.73,72.73,11.6364,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,bleached and unbleached wheat flour,bleached and unbleached wheat flour,168,44,36,124,0,26.19,26.19,11.5238,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,unbleached unbromated enriched wheat flour,unbleached unbromated enriched wheat flour,43,22,8,21,0,51.16,51.16,11.2558,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,enriched whole wheat flour,enriched whole wheat flour,23,16,8,7,0,69.57,69.57,11.1304,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,tortilla enriched bleached wheat flour,tortilla enriched bleached wheat flour,60,25,19,35,0,41.67,41.67,10.4167,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,from wheat,from wheat,35,19,19,16,0,54.29,54.29,10.3143,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,unbleached and bleached wheat flour,unbleached and bleached wheat flour,25,16,8,9,0,64.00,64.00,10.2400,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,breaded with bleached wheat flour,breaded with bleached wheat flour,27,16,14,11,0,59.26,59.26,9.4815,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,battered and breaded with bleached wheat flour,battered and breaded with bleached wheat flour,153,36,26,117,0,23.53,23.53,8.4706,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,oriental noodles enriched wheat flour,oriental noodles enriched wheat flour,32,16,16,16,0,50.00,50.00,8.0000,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,wheat flour dried,wheat flour dried,26,14,14,12,0,53.85,53.85,7.5385,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,tortilla bleached wheat flour enriched,tortilla bleached wheat flour enriched,53,16,16,37,0,30.19,30.19,4.8302,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,wheat soybeans,wheat soybeans,36,13,13,23,0,36.11,36.11,4.6944,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,organic whole grain wheat flour,organic whole grain wheat flour,51,15,15,36,0,29.41,29.41,4.4118,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,bleached wheat flour enriched,bleached wheat flour enriched,113,18,8,95,0,15.93,15.93,2.8673,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
Cereals with Gluten,cereals_with_gluten,and wheat flour,and wheat flour,26,8,8,18,0,30.77,30.77,2.4615,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,sodium nitrite crust enriched wheat flour,sodium nitrite crust enriched wheat flour,29,8,8,21,0,27.59,27.59,2.2069,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,wheat syrup,wheat syrup,33,8,8,25,0,24.24,24.24,1.9394,review_cereal,Candidate cereal term from uncovered proxy positives.
Cereals with Gluten,cereals_with_gluten,wheat flour bleached,wheat flour bleached,384,25,22,359,0,6.51,6.51,1.6276,review_cereal_high,High corpus support in uncovered wheat-proxy positives; verify gluten status.
